epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
4,6145.01,0.98418,0.73016,1.07801,0.80893,0.65151,0.72703,0.541,0.99026,0.64178,1.02944,0.0009406,0.0009406,0.0009406
5,10645.9,0.96887,0.70931,1.06914,0.8003,0.67059,0.73589,0.54849,0.98056,0.62588,1.02702,0.0009208,0.0009208,0.0009208
1,5796.56,1.11524,0.97114,1.15743,0.75618,0.59322,0.65846,0.47375,1.05793,0.74133,1.07122,0.000333233,0.000333233,0.06701
6,15117.6,0.9591,0.69817,1.06349,0.81245,0.6687,0.74061,0.55503,0.97388,0.61345,1.02133,0.000901,0.000901,0.000901
2,10282.6,1.02767,0.79999,1.10522,0.77677,0.63059,0.6973,0.51156,1.01379,0.67867,1.04936,0.000653368,0.000653368,0.0339968
7,19628.8,0.94726,0.68336,1.05674,0.816,0.67499,0.74657,0.56199,0.95945,0.60392,1.01605,0.0008812,0.0008812,0.0008812
8,24726.9,0.94013,0.67219,1.04914,0.81695,0.68083,0.75106,0.56642,0.955,0.59503,1.00976,0.0008614,0.0008614,0.0008614
3,20911.3,1.00124,0.75599,1.0897,0.79184,0.64496,0.71676,0.53038,0.9997,0.65655,1.03547,0.000960303,0.000960303,0.00097038
9,29350.9,0.93212,0.66302,1.04511,0.81875,0.68161,0.75246,0.56935,0.94696,0.58818,1.00598,0.0008416,0.0008416,0.0008416
4,25563.2,0.98418,0.73016,1.07801,0.80893,0.65151,0.72703,0.541,0.99026,0.64178,1.02944,0.0009406,0.0009406,0.0009406
10,34172.5,0.92633,0.65463,1.04141,0.81614,0.68717,0.75466,0.57216,0.94231,0.58524,1.00108,0.0008218,0.0008218,0.0008218
5,30248.2,0.96887,0.70931,1.06914,0.8003,0.67059,0.73589,0.54849,0.98056,0.62588,1.02702,0.0009208,0.0009208,0.0009208
11,38666.8,0.91926,0.64556,1.03383,0.82156,0.68808,0.75751,0.57467,0.93963,0.57946,0.99762,0.000802,0.000802,0.000802
6,34642.2,0.9591,0.69817,1.06349,0.81245,0.6687,0.74061,0.55503,0.97388,0.61345,1.02133,0.000901,0.000901,0.000901
12,43113,0.91367,0.63953,1.03428,0.82404,0.69034,0.76016,0.57718,0.93791,0.57582,0.997,0.0007822,0.0007822,0.0007822
7,38973.3,0.94726,0.68336,1.05674,0.816,0.67499,0.74657,0.56199,0.95945,0.60392,1.01605,0.0008812,0.0008812,0.0008812
13,47676,0.90959,0.63226,1.03076,0.82616,0.69135,0.76189,0.57908,0.93425,0.57189,0.99565,0.0007624,0.0007624,0.0007624
8,43601.3,0.94013,0.67219,1.04914,0.81695,0.68083,0.75106,0.56642,0.955,0.59503,1.00976,0.0008614,0.0008614,0.0008614
14,52311.6,0.90265,0.62582,1.02715,0.83067,0.69056,0.7635,0.58039,0.93284,0.56964,0.99598,0.0007426,0.0007426,0.0007426
9,48288,0.93212,0.66302,1.04511,0.81875,0.68161,0.75246,0.56935,0.94696,0.58818,1.00598,0.0008416,0.0008416,0.0008416
15,57109.9,0.89899,0.62048,1.02394,0.82523,0.69628,0.76481,0.58172,0.93115,0.56695,0.99467,0.0007228,0.0007228,0.0007228
10,53167.1,0.92633,0.65463,1.04141,0.81614,0.68717,0.75466,0.57216,0.94231,0.58524,1.00108,0.0008218,0.0008218,0.0008218
16,61833.6,0.89518,0.61687,1.02062,0.8266,0.69721,0.76584,0.58312,0.93009,0.56455,0.99352,0.000703,0.000703,0.000703
11,57625.8,0.91926,0.64556,1.03383,0.82156,0.68808,0.75751,0.57467,0.93963,0.57946,0.99762,0.000802,0.000802,0.000802
17,66283.7,0.89117,0.61241,1.01869,0.82738,0.69759,0.76645,0.58382,0.92893,0.564,0.99281,0.0006832,0.0006832,0.0006832
12,62864.5,0.91367,0.63953,1.03428,0.82404,0.69034,0.76016,0.57718,0.93791,0.57582,0.997,0.0007822,0.0007822,0.0007822
18,70833.4,0.88313,0.60463,1.01786,0.82672,0.69961,0.76677,0.58416,0.92772,0.56299,0.99286,0.0006634,0.0006634,0.0006634
13,67334.8,0.90959,0.63226,1.03076,0.82616,0.69135,0.76189,0.57908,0.93425,0.57189,0.99565,0.0007624,0.0007624,0.0007624
19,75353.5,0.8825,0.60101,1.01667,0.82786,0.70011,0.76718,0.58472,0.92682,0.56215,0.9929,0.0006436,0.0006436,0.0006436
14,72040.3,0.90265,0.62582,1.02715,0.83067,0.69056,0.7635,0.58039,0.93284,0.56964,0.99598,0.0007426,0.0007426,0.0007426
20,79973.7,0.87739,0.59501,1.0146,0.82614,0.70213,0.76763,0.5854,0.92573,0.56095,0.99263,0.0006238,0.0006238,0.0006238
15,76604.4,0.89899,0.62048,1.02394,0.82523,0.69628,0.76481,0.58172,0.93115,0.56695,0.99467,0.0007228,0.0007228,0.0007228
21,84604,0.87337,0.59176,1.01347,0.82697,0.70152,0.7681,0.58577,0.92518,0.56032,0.99239,0.000604,0.000604,0.000604
16,81231,0.89518,0.61687,1.02062,0.8266,0.69721,0.76584,0.58312,0.93009,0.56455,0.99352,0.000703,0.000703,0.000703
22,89193.2,0.86855,0.58712,1.0084,0.82758,0.70117,0.76862,0.58611,0.92417,0.55969,0.99163,0.0005842,0.0005842,0.0005842
17,85777.7,0.89117,0.61241,1.01869,0.82738,0.69759,0.76645,0.58382,0.92893,0.564,0.99281,0.0006832,0.0006832,0.0006832
23,93901.6,0.86733,0.58372,1.00881,0.82734,0.70204,0.76905,0.58653,0.92369,0.55895,0.99149,0.0005644,0.0005644,0.0005644
18,90247,0.88313,0.60463,1.01786,0.82672,0.69961,0.76677,0.58416,0.92772,0.56299,0.99286,0.0006634,0.0006634,0.0006634
24,98366.2,0.86439,0.58037,1.00751,0.83108,0.70024,0.76949,0.58684,0.92319,0.55841,0.99126,0.0005446,0.0005446,0.0005446
19,94731.1,0.8825,0.60101,1.01667,0.82786,0.70011,0.76718,0.58472,0.92682,0.56215,0.9929,0.0006436,0.0006436,0.0006436
25,102899,0.86042,0.57566,1.00298,0.83115,0.70036,0.76974,0.58726,0.92262,0.55746,0.99089,0.0005248,0.0005248,0.0005248
20,99155.4,0.87739,0.59501,1.0146,0.82614,0.70213,0.76763,0.5854,0.92573,0.56095,0.99263,0.0006238,0.0006238,0.0006238
26,107403,0.85753,0.57216,1.00308,0.83182,0.70016,0.76981,0.58752,0.92228,0.55657,0.99057,0.000505,0.000505,0.000505
21,103694,0.87337,0.59176,1.01347,0.82697,0.70152,0.7681,0.58577,0.92518,0.56032,0.99239,0.000604,0.000604,0.000604
27,111932,0.85526,0.56767,1.00208,0.8321,0.70002,0.7701,0.58789,0.92183,0.55589,0.99038,0.0004852,0.0004852,0.0004852
22,108151,0.86855,0.58712,1.0084,0.82758,0.70117,0.76862,0.58611,0.92417,0.55969,0.99163,0.0005842,0.0005842,0.0005842
28,116462,0.84914,0.5639,0.99748,0.83308,0.70011,0.77019,0.58812,0.92099,0.55518,0.98977,0.0004654,0.0004654,0.0004654
23,112690,0.86733,0.58372,1.00881,0.82734,0.70204,0.76905,0.58653,0.92369,0.55895,0.99149,0.0005644,0.0005644,0.0005644
29,120895,0.84672,0.56128,0.99766,0.83372,0.70036,0.7704,0.58845,0.92039,0.55442,0.98943,0.0004456,0.0004456,0.0004456
24,117030,0.86439,0.58037,1.00751,0.83108,0.70024,0.76949,0.58684,0.92319,0.55841,0.99126,0.0005446,0.0005446,0.0005446
30,125314,0.84543,0.55841,0.99598,0.83309,0.7008,0.77042,0.58866,0.91991,0.55378,0.98911,0.0004258,0.0004258,0.0004258
25,121503,0.86042,0.57566,1.00298,0.83115,0.70036,0.76974,0.58726,0.92262,0.55746,0.99089,0.0005248,0.0005248,0.0005248
31,129923,0.84205,0.55418,0.99428,0.83373,0.7006,0.77056,0.5888,0.91961,0.55311,0.98892,0.000406,0.000406,0.000406
26,126094,0.85753,0.57216,1.00308,0.83182,0.70016,0.76981,0.58752,0.92228,0.55657,0.99057,0.000505,0.000505,0.000505
32,134370,0.83755,0.55078,0.99229,0.83318,0.70142,0.77065,0.58887,0.91934,0.55237,0.98866,0.0003862,0.0003862,0.0003862
27,130514,0.85526,0.56767,1.00208,0.8321,0.70002,0.7701,0.58789,0.92183,0.55589,0.99038,0.0004852,0.0004852,0.0004852
33,138879,0.83637,0.54937,0.99202,0.83222,0.70263,0.77077,0.58901,0.91922,0.55206,0.98858,0.0003664,0.0003664,0.0003664
28,134928,0.84914,0.5639,0.99748,0.83308,0.70011,0.77019,0.58812,0.92099,0.55518,0.98977,0.0004654,0.0004654,0.0004654
34,143461,0.83339,0.54556,0.99251,0.83608,0.70046,0.77094,0.589,0.91914,0.55181,0.98879,0.0003466,0.0003466,0.0003466
29,139553,0.84672,0.56128,0.99766,0.83372,0.70036,0.7704,0.58845,0.92039,0.55442,0.98943,0.0004456,0.0004456,0.0004456
35,148243,0.82563,0.54037,0.98883,0.83376,0.70223,0.77083,0.58911,0.91909,0.55128,0.98894,0.0003268,0.0003268,0.0003268
30,144141,0.84543,0.55841,0.99598,0.83309,0.7008,0.77042,0.58866,0.91991,0.55378,0.98911,0.0004258,0.0004258,0.0004258
36,152850,0.82519,0.53983,0.98743,0.83467,0.70147,0.77089,0.58904,0.91907,0.55113,0.98896,0.000307,0.000307,0.000307
31,148788,0.84205,0.55418,0.99428,0.83373,0.7006,0.77056,0.5888,0.91961,0.55311,0.98892,0.000406,0.000406,0.000406
37,157453,0.81859,0.53349,0.98401,0.83271,0.70336,0.771,0.58927,0.91894,0.55051,0.98883,0.0002872,0.0002872,0.0002872
32,153232,0.83755,0.55078,0.99229,0.83318,0.70142,0.77065,0.58887,0.91934,0.55237,0.98866,0.0003862,0.0003862,0.0003862
38,161937,0.81559,0.52964,0.98113,0.83094,0.70453,0.77097,0.5894,0.91907,0.55013,0.98862,0.0002674,0.0002674,0.0002674
33,157623,0.83637,0.54937,0.99202,0.83222,0.70263,0.77077,0.58901,0.91922,0.55206,0.98858,0.0003664,0.0003664,0.0003664
39,166463,0.81432,0.52945,0.9824,0.82675,0.70756,0.77099,0.58938,0.91912,0.55015,0.98866,0.0002476,0.0002476,0.0002476
34,162269,0.83339,0.54556,0.99251,0.83608,0.70046,0.77094,0.589,0.91914,0.55181,0.98879,0.0003466,0.0003466,0.0003466
40,171270,0.81023,0.52323,0.97768,0.82681,0.70767,0.77102,0.58945,0.9192,0.55006,0.98852,0.0002278,0.0002278,0.0002278
35,166773,0.82563,0.54037,0.98883,0.83376,0.70223,0.77083,0.58911,0.91909,0.55128,0.98894,0.0003268,0.0003268,0.0003268
41,175583,0.7479,0.45112,0.93969,0.82702,0.7072,0.77091,0.5895,0.91928,0.54987,0.98827,0.000208,0.000208,0.000208
36,171011,0.82519,0.53983,0.98743,0.83467,0.70147,0.77089,0.58904,0.91907,0.55113,0.98896,0.000307,0.000307,0.000307
